"rules","support","confidence","lift"
"{白公鹅,猫} => {小木偶的故事}",0.118,0.98,7.541
"{小木偶的故事} => {白公鹅,猫}",0.118,0.906,7.541
"{白公鹅,猫} => {白鹅}",0.118,0.98,5.965
"{白鹅} => {白公鹅,猫}",0.118,0.716,5.965
"{自然之道} => {将心比心}",0.064,0.897,11.8
"{将心比心} => {自然之道}",0.064,0.839,11.8
"{小木偶的故事} => {白鹅}",0.123,0.943,5.745
"{白鹅} => {小木偶的故事}",0.123,0.746,5.745
"{独坐敬亭山,8、找规律,桂林山水} => {记金华的双龙洞}",0.015,0.857,10.929
"{尺有所短寸有所长,给予是快乐的,为中华之崛起而读书,那片绿绿的爬山虎} => {乌塔}",0.025,1,13.161
"{尺有所短寸有所长,给予是快乐的,乌塔} => {为中华之崛起而读书,那片绿绿的爬山虎}",0.025,1,13.161
"{尺有所短寸有所长,为中华之崛起而读书,那片绿绿的爬山虎} => {乌塔}",0.032,1,13.161
"{尺有所短寸有所长,乌塔} => {为中华之崛起而读书,那片绿绿的爬山虎}",0.032,1,13.161
"{颐和园,秦兵马俑,长城} => {母鸡}",0.02,1,12.75
"{母鸡,长城} => {颐和园,秦兵马俑}",0.02,0.727,11.869
"{黄河是怎样变化的,蝙蝠和雷达,自然之道} => {将心比心}",0.039,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,将心比心} => {自然之道}",0.039,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天} => {夜莺的歌声,小英雄雨来,一个中国孩子的呼声}",0.015,0.857,12.952
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天} => {独坐敬亭山,桂林山水}",0.015,0.857,10.929
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天} => {自然之道}",0.017,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天} => {将心比心}",0.015,0.857,11.281
"{记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严} => {自然之道}",0.015,1,14.069
"{记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严} => {将心比心}",0.015,1,13.161
"{记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{记金华的双龙洞,七月的天山,中彩那天,自然之道} => {夜莺的歌声,小英雄雨来,一个中国孩子的呼声}",0.015,0.857,12.952
"{记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天} => {自然之道}",0.015,1,14.069
"{记金华的双龙洞,七月的天山,中彩那天,自然之道} => {独坐敬亭山,桂林山水}",0.015,0.857,10.929
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天} => {将心比心}",0.015,1,13.161
"{记金华的双龙洞,七月的天山,中彩那天,将心比心} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{记金华的双龙洞,七月的天山,中彩那天,自然之道} => {将心比心}",0.015,0.857,11.281
"{记金华的双龙洞,七月的天山,中彩那天,将心比心} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,万年牢,尊严} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,万年牢,尊严} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,万年牢,尊严} => {将心比心}",0.015,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,自然之道} => {夜莺的歌声,小英雄雨来,一个中国孩子的呼声}",0.015,0.857,12.952
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,自然之道} => {独坐敬亭山,桂林山水}",0.015,0.857,10.929
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示} => {将心比心}",0.015,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,将心比心} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,自然之道} => {将心比心}",0.015,0.857,11.281
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,将心比心} => {自然之道}",0.015,1,14.069
"{搭石,卡罗纳} => {古诗两首}",0.056,1,11.027
"{古诗两首,卡罗纳} => {搭石}",0.056,1,13.161
"{搭石,古诗两首} => {卡罗纳}",0.056,0.821,14.571
"{万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{万年牢,尊严,自然之道} => {夜莺的歌声,小英雄雨来,一个中国孩子的呼声}",0.015,0.857,12.952
"{万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{将心比心,万年牢,尊严} => {夜莺的歌声,小英雄雨来,一个中国孩子的呼声}",0.015,0.857,12.952
"{独坐敬亭山,桂林山水,万年牢,尊严} => {自然之道}",0.015,1,14.069
"{万年牢,尊严,自然之道} => {独坐敬亭山,桂林山水}",0.015,0.857,10.929
"{独坐敬亭山,桂林山水,万年牢,尊严} => {将心比心}",0.015,1,13.161
"{将心比心,万年牢,尊严} => {独坐敬亭山,桂林山水}",0.015,0.857,10.929
"{万年牢,尊严,自然之道} => {将心比心}",0.015,0.857,11.281
"{将心比心,万年牢,尊严} => {自然之道}",0.015,0.857,12.059
"{观潮,鸟的天堂} => {白鹅}",0.015,0.667,4.06
"{白鹅,鸟的天堂} => {观潮}",0.015,0.6,4.896
"{独坐敬亭山,桂林山水,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,自然之道} => {夜莺的歌声,小英雄雨来,一个中国孩子的呼声}",0.015,0.857,12.952
"{独坐敬亭山,桂林山水,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{将心比心,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,将心比心} => {夜莺的歌声,小英雄雨来,一个中国孩子的呼声}",0.015,0.857,12.952
"{夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {将心比心}",0.015,1,13.161
"{将心比心,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{独坐敬亭山,桂林山水,自然之道} => {将心比心}",0.017,1,13.161
"{独坐敬亭山,桂林山水,将心比心} => {自然之道}",0.017,1,14.069
"{白公鹅,猫,小木偶的故事} => {白鹅}",0.118,1,6.09
"{白鹅,白公鹅,猫} => {小木偶的故事}",0.118,1,7.698
"{白鹅,小木偶的故事} => {白公鹅,猫}",0.118,0.96,7.993
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严} => {将心比心}",0.015,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,自然之道} => {夜莺的歌声,小英雄雨来,一个中国孩子的呼声}",0.015,0.857,12.952
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,自然之道} => {独坐敬亭山,桂林山水}",0.015,0.857,10.929
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天} => {将心比心}",0.015,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,将心比心} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,自然之道} => {将心比心}",0.015,0.857,11.281
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,将心比心} => {自然之道}",0.015,1,14.069
"{记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严} => {自然之道}",0.015,1,14.069
"{记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严} => {将心比心}",0.015,1,13.161
"{记金华的双龙洞,七月的天山,中彩那天,将心比心,万年牢,尊严} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,自然之道} => {将心比心}",0.015,1,13.161
"{记金华的双龙洞,七月的天山,中彩那天,将心比心,万年牢,尊严} => {自然之道}",0.015,1,14.069
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{记金华的双龙洞,七月的天山,中彩那天,将心比心,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {将心比心}",0.015,1,13.161
"{记金华的双龙洞,七月的天山,中彩那天,将心比心,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天,自然之道} => {将心比心}",0.015,1,13.161
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天,将心比心} => {自然之道}",0.015,1,14.069
"{记金华的双龙洞,七月的天山,中彩那天,将心比心,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,万年牢,尊严} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,万年牢,尊严,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,万年牢,尊严} => {将心比心}",0.015,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,将心比心,万年牢,尊严} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,万年牢,尊严,自然之道} => {将心比心}",0.015,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,将心比心,万年牢,尊严} => {自然之道}",0.015,1,14.069
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,将心比心,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {将心比心}",0.015,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,将心比心,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,自然之道} => {将心比心}",0.015,1,13.161
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,将心比心} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,将心比心,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{将心比心,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {将心比心}",0.015,1,13.161
"{将心比心,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{独坐敬亭山,桂林山水,万年牢,尊严,自然之道} => {将心比心}",0.015,1,13.161
"{独坐敬亭山,桂林山水,将心比心,万年牢,尊严} => {自然之道}",0.015,1,14.069
"{将心比心,万年牢,尊严,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {将心比心}",0.015,1,13.161
"{独坐敬亭山,桂林山水,将心比心,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{将心比心,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,将心比心,自然之道} => {夜莺的歌声,小英雄雨来,一个中国孩子的呼声}",0.015,0.857,12.952
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严} => {将心比心}",0.015,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,将心比心,万年牢,尊严} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,自然之道} => {将心比心}",0.015,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,将心比心,万年牢,尊严} => {自然之道}",0.015,1,14.069
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,将心比心,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {将心比心}",0.015,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,将心比心,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,自然之道} => {将心比心}",0.015,1,13.161
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,将心比心} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,记金华的双龙洞,七月的天山,中彩那天,将心比心,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{记金华的双龙洞,七月的天山,中彩那天,将心比心,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {将心比心}",0.015,1,13.161
"{记金华的双龙洞,七月的天山,中彩那天,将心比心,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天,万年牢,尊严,自然之道} => {将心比心}",0.015,1,13.161
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天,将心比心,万年牢,尊严} => {自然之道}",0.015,1,14.069
"{记金华的双龙洞,七月的天山,中彩那天,将心比心,万年牢,尊严,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {将心比心}",0.015,1,13.161
"{独坐敬亭山,桂林山水,记金华的双龙洞,七月的天山,中彩那天,将心比心,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{记金华的双龙洞,七月的天山,中彩那天,将心比心,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {自然之道}",0.015,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声,自然之道} => {独坐敬亭山,桂林山水}",0.015,1,12.75
"{独坐敬亭山,桂林山水,黄河是怎样变化的,蝙蝠和雷达,大自然的启示,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {将心比心}",0.015,1,13.161
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示,将心比心,万年牢,尊严,夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {独坐敬亭山,桂林山水}",0.015,1,12.75
