"rules","support","confidence","lift"
"{白杨,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {把铁路修到拉萨去}",0.019,1,12
"{把铁路修到拉萨去,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {白杨}",0.019,1,12
"{白杨,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {丝绸之路}",0.019,1,11.143
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,丝绸之路} => {白杨}",0.019,1,12
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,古诗三首} => {把铁路修到拉萨去}",0.019,1,12
"{把铁路修到拉萨去,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {古诗三首}",0.019,1,12
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,古诗三首} => {丝绸之路}",0.019,1,11.143
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,丝绸之路} => {古诗三首}",0.019,1,12
"{把铁路修到拉萨去,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {丝绸之路}",0.019,1,11.143
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,丝绸之路} => {把铁路修到拉萨去}",0.019,1,12
"{难忘的一课,学会看病} => {狼牙山五壮士}",0.045,1,7.429
"{难忘的一课,学会看病} => {圆明园的毁灭}",0.045,1,6.5
"{狼牙山五壮士,难忘的一课} => {圆明园的毁灭}",0.045,1,6.5
"{难忘的一课,圆明园的毁灭} => {狼牙山五壮士}",0.045,1,7.429
"{鲸,松鼠,小桥流水人家} => {新型玻璃}",0.064,1,7.091
"{小桥流水人家,新型玻璃} => {鲸,松鼠}",0.064,1,8.667
"{鲸,松鼠,新型玻璃} => {小桥流水人家}",0.064,0.625,9.75
"{钓鱼的启示,通往广场的路不止一条,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {鲸,松鼠}",0.038,1,8.667
"{鲸,松鼠,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {钓鱼的启示,通往广场的路不止一条}",0.038,1,9.75
"{钓鱼的启示,通往广场的路不止一条,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {窃读记,小苗与大树的对话}",0.038,1,6.783
"{窃读记,小苗与大树的对话,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {钓鱼的启示,通往广场的路不止一条}",0.038,1,9.75
"{钓鱼的启示,通往广场的路不止一条,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {假如没有尘埃}",0.038,1,6.783
"{假如没有尘埃,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {钓鱼的启示,通往广场的路不止一条}",0.038,1,9.75
"{钓鱼的启示,通往广场的路不止一条,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {新型玻璃}",0.038,1,7.091
"{新型玻璃,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {钓鱼的启示,通往广场的路不止一条}",0.038,1,9.75
"{鲸,松鼠,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {窃读记,小苗与大树的对话}",0.038,1,6.783
"{窃读记,小苗与大树的对话,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {鲸,松鼠}",0.038,1,8.667
"{鲸,松鼠,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {假如没有尘埃}",0.038,1,6.783
"{假如没有尘埃,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {鲸,松鼠}",0.038,1,8.667
"{鲸,松鼠,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {新型玻璃}",0.038,1,7.091
"{新型玻璃,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {鲸,松鼠}",0.038,1,8.667
"{窃读记,小苗与大树的对话,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {假如没有尘埃}",0.038,1,6.783
"{假如没有尘埃,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {窃读记,小苗与大树的对话}",0.038,1,6.783
"{窃读记,小苗与大树的对话,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {新型玻璃}",0.038,1,7.091
"{新型玻璃,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {窃读记,小苗与大树的对话}",0.038,1,6.783
"{假如没有尘埃,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {新型玻璃}",0.038,1,7.091
"{新型玻璃,走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {假如没有尘埃}",0.038,1,6.783
"{狼牙山五壮士,学会看病} => {圆明园的毁灭}",0.045,1,6.5
"{学会看病,圆明园的毁灭} => {狼牙山五壮士}",0.045,1,7.429
"{小苗与大树的对话,最后一分钟} => {七律.长征}",0.013,0.667,4.333
"{小苗与大树的对话,最后一分钟} => {圆明园的毁灭}",0.013,0.667,4.333
"{鲸,松鼠,最后一分钟} => {七律.长征}",0.013,1,6.5
"{钓鱼的启示,通往广场的路不止一条,鲸,松鼠} => {窃读记,小苗与大树的对话}",0.038,1,6.783
"{钓鱼的启示,通往广场的路不止一条,窃读记,小苗与大树的对话} => {鲸,松鼠}",0.038,1,8.667
"{鲸,松鼠,窃读记,小苗与大树的对话} => {钓鱼的启示,通往广场的路不止一条}",0.038,1,9.75
"{钓鱼的启示,通往广场的路不止一条,鲸,松鼠} => {假如没有尘埃}",0.038,1,6.783
"{假如没有尘埃,鲸,松鼠} => {钓鱼的启示,通往广场的路不止一条}",0.038,1,9.75
"{钓鱼的启示,通往广场的路不止一条,鲸,松鼠} => {新型玻璃}",0.038,1,7.091
"{钓鱼的启示,通往广场的路不止一条,新型玻璃} => {鲸,松鼠}",0.038,1,8.667
"{钓鱼的启示,通往广场的路不止一条,窃读记,小苗与大树的对话} => {假如没有尘埃}",0.038,1,6.783
"{假如没有尘埃,窃读记,小苗与大树的对话} => {钓鱼的启示,通往广场的路不止一条}",0.038,1,9.75
"{钓鱼的启示,通往广场的路不止一条,窃读记,小苗与大树的对话} => {新型玻璃}",0.038,1,7.091
"{钓鱼的启示,通往广场的路不止一条,新型玻璃} => {窃读记,小苗与大树的对话}",0.038,1,6.783
"{窃读记,小苗与大树的对话,新型玻璃} => {钓鱼的启示,通往广场的路不止一条}",0.038,0.857,8.357
"{钓鱼的启示,通往广场的路不止一条,新型玻璃} => {假如没有尘埃}",0.038,1,6.783
"{半截蜡烛,草原} => {晏子使楚}",0.019,0.75,9.75
"{草原,晏子使楚} => {半截蜡烛}",0.019,1,14.182
"{白杨,半截蜡烛} => {晏子使楚}",0.019,0.75,9.75
"{白杨,晏子使楚} => {半截蜡烛}",0.019,0.75,10.636
"{半截蜡烛,古诗三首} => {晏子使楚}",0.026,1,13
"{古诗三首,晏子使楚} => {半截蜡烛}",0.026,0.8,11.345
"{把铁路修到拉萨去,半截蜡烛} => {晏子使楚}",0.026,0.8,10.4
"{把铁路修到拉萨去,晏子使楚} => {半截蜡烛}",0.026,0.8,11.345
"{半截蜡烛,丝绸之路} => {晏子使楚}",0.026,1,13
"{丝绸之路,晏子使楚} => {半截蜡烛}",0.026,0.8,11.345
"{半截蜡烛,草原} => {白杨}",0.026,1,12
"{白杨,半截蜡烛} => {草原}",0.026,1,12
"{半截蜡烛,草原} => {古诗三首}",0.019,0.75,9
"{半截蜡烛,古诗三首} => {草原}",0.019,0.75,9
"{草原,古诗三首} => {半截蜡烛}",0.019,0.75,10.636
"{半截蜡烛,草原} => {把铁路修到拉萨去}",0.026,1,12
"{把铁路修到拉萨去,半截蜡烛} => {草原}",0.026,0.8,9.6
"{把铁路修到拉萨去,草原} => {半截蜡烛}",0.026,1,14.182
"{半截蜡烛,草原} => {丝绸之路}",0.019,0.75,8.357
"{半截蜡烛,丝绸之路} => {草原}",0.019,0.75,9
"{白杨,半截蜡烛} => {古诗三首}",0.019,0.75,9
"{半截蜡烛,古诗三首} => {白杨}",0.019,0.75,9
"{白杨,古诗三首} => {半截蜡烛}",0.019,0.75,10.636
"{白杨,半截蜡烛} => {把铁路修到拉萨去}",0.026,1,12
"{把铁路修到拉萨去,半截蜡烛} => {白杨}",0.026,0.8,9.6
"{把铁路修到拉萨去,白杨} => {半截蜡烛}",0.026,0.8,11.345
"{白杨,半截蜡烛} => {丝绸之路}",0.019,0.75,8.357
"{半截蜡烛,丝绸之路} => {白杨}",0.019,0.75,9
"{半截蜡烛,古诗三首} => {把铁路修到拉萨去}",0.026,1,12
"{把铁路修到拉萨去,半截蜡烛} => {古诗三首}",0.026,0.8,9.6
"{半截蜡烛,古诗三首} => {丝绸之路}",0.026,1,11.143
"{半截蜡烛,丝绸之路} => {古诗三首}",0.026,1,12
"{古诗三首,丝绸之路} => {半截蜡烛}",0.026,0.667,9.455
"{把铁路修到拉萨去,半截蜡烛} => {丝绸之路}",0.026,0.8,8.914
"{半截蜡烛,丝绸之路} => {把铁路修到拉萨去}",0.026,1,12
"{把铁路修到拉萨去,丝绸之路} => {半截蜡烛}",0.026,0.8,11.345
"{草原,晏子使楚} => {白杨}",0.019,1,12
"{白杨,晏子使楚} => {草原}",0.019,0.75,9
"{草原,晏子使楚} => {古诗三首}",0.019,1,12
"{古诗三首,晏子使楚} => {草原}",0.019,0.6,7.2
"{草原,古诗三首} => {晏子使楚}",0.019,0.75,9.75
"{草原,晏子使楚} => {把铁路修到拉萨去}",0.019,1,12
"{把铁路修到拉萨去,晏子使楚} => {草原}",0.019,0.6,7.2
"{把铁路修到拉萨去,草原} => {晏子使楚}",0.019,0.75,9.75
"{草原,晏子使楚} => {丝绸之路}",0.019,1,11.143
"{丝绸之路,晏子使楚} => {草原}",0.019,0.6,7.2
"{白杨,晏子使楚} => {古诗三首}",0.026,1,12
"{古诗三首,晏子使楚} => {白杨}",0.026,0.8,9.6
"{白杨,古诗三首} => {晏子使楚}",0.026,1,13
"{白杨,晏子使楚} => {把铁路修到拉萨去}",0.026,1,12
"{把铁路修到拉萨去,晏子使楚} => {白杨}",0.026,0.8,9.6
"{把铁路修到拉萨去,白杨} => {晏子使楚}",0.026,0.8,10.4
"{白杨,晏子使楚} => {丝绸之路}",0.026,1,11.143
"{丝绸之路,晏子使楚} => {白杨}",0.026,0.8,9.6
"{古诗三首,晏子使楚} => {把铁路修到拉萨去}",0.032,1,12
"{把铁路修到拉萨去,晏子使楚} => {古诗三首}",0.032,1,12
"{古诗三首,晏子使楚} => {丝绸之路}",0.032,1,11.143
"{丝绸之路,晏子使楚} => {古诗三首}",0.032,1,12
"{古诗三首,丝绸之路} => {晏子使楚}",0.032,0.833,10.833
"{把铁路修到拉萨去,晏子使楚} => {丝绸之路}",0.032,1,11.143
"{丝绸之路,晏子使楚} => {把铁路修到拉萨去}",0.032,1,12
"{把铁路修到拉萨去,丝绸之路} => {晏子使楚}",0.032,1,13
"{难忘的一课,最后一分钟,小苗与大树的对话} => {七律.长征}",0.013,1,6.5
"{狼牙山五壮士,小苗与大树的对话} => {七律.长征}",0.013,1,6.5
"{假如没有尘埃,小苗与大树的对话} => {七律.长征}",0.019,1,6.5
"{七律.长征,小苗与大树的对话} => {假如没有尘埃}",0.019,0.6,4.07
"{假如没有尘埃,小苗与大树的对话} => {新型玻璃}",0.013,0.667,4.727
"{小苗与大树的对话,新型玻璃} => {假如没有尘埃}",0.013,1,6.783
"{假如没有尘埃,小苗与大树的对话} => {圆明园的毁灭}",0.013,0.667,4.333
"{小苗与大树的对话,新型玻璃} => {七律.长征}",0.013,1,6.5
"{七律.长征,小苗与大树的对话} => {圆明园的毁灭}",0.019,0.6,3.9
"{小苗与大树的对话,圆明园的毁灭} => {七律.长征}",0.019,0.75,4.875
"{狼牙山五壮士,难忘的一课,最后一分钟} => {圆明园的毁灭}",0.077,0.923,6
"{难忘的一课,最后一分钟,圆明园的毁灭} => {狼牙山五壮士}",0.077,0.923,6.857
"{狼牙山五壮士,圆明园的毁灭} => {难忘的一课,最后一分钟}",0.077,0.6,6.686
"{草原,古诗三首} => {白杨}",0.019,0.75,9
"{白杨,古诗三首} => {草原}",0.019,0.75,9
"{把铁路修到拉萨去,草原} => {白杨}",0.026,1,12
"{把铁路修到拉萨去,白杨} => {草原}",0.026,0.8,9.6
"{白杨,草原} => {丝绸之路}",0.071,0.917,10.214
"{草原,丝绸之路} => {白杨}",0.071,0.917,11
"{白杨,丝绸之路} => {草原}",0.071,0.917,11
"{草原,古诗三首} => {把铁路修到拉萨去}",0.019,0.75,9
"{把铁路修到拉萨去,草原} => {古诗三首}",0.019,0.75,9
"{草原,古诗三首} => {丝绸之路}",0.026,1,11.143
"{古诗三首,丝绸之路} => {草原}",0.026,0.667,8
"{把铁路修到拉萨去,草原} => {丝绸之路}",0.019,0.75,8.357
"{把铁路修到拉萨去,丝绸之路} => {草原}",0.019,0.6,7.2
"{白杨,古诗三首} => {把铁路修到拉萨去}",0.026,1,12
"{把铁路修到拉萨去,白杨} => {古诗三首}",0.026,0.8,9.6
"{白杨,古诗三首} => {丝绸之路}",0.026,1,11.143
"{古诗三首,丝绸之路} => {白杨}",0.026,0.667,8
"{把铁路修到拉萨去,白杨} => {丝绸之路}",0.026,0.8,8.914
"{把铁路修到拉萨去,丝绸之路} => {白杨}",0.026,0.8,9.6
"{古诗三首,丝绸之路} => {把铁路修到拉萨去}",0.032,0.833,10
"{把铁路修到拉萨去,丝绸之路} => {古诗三首}",0.032,1,12
"{鲸,松鼠,窃读记,小苗与大树的对话} => {假如没有尘埃}",0.038,1,6.783
"{假如没有尘埃,鲸,松鼠} => {窃读记,小苗与大树的对话}",0.038,1,6.783
"{假如没有尘埃,窃读记,小苗与大树的对话} => {鲸,松鼠}",0.038,1,8.667
"{鲸,松鼠,窃读记,小苗与大树的对话} => {新型玻璃}",0.038,1,7.091
"{窃读记,小苗与大树的对话,新型玻璃} => {鲸,松鼠}",0.038,0.857,7.429
"{假如没有尘埃,鲸,松鼠} => {新型玻璃}",0.038,1,7.091
"{假如没有尘埃,窃读记,小苗与大树的对话} => {新型玻璃}",0.038,1,7.091
"{窃读记,小苗与大树的对话,新型玻璃} => {假如没有尘埃}",0.038,0.857,5.814
"{狼牙山五壮士,新型玻璃} => {圆明园的毁灭}",0.013,1,6.5
"{新型玻璃,圆明园的毁灭} => {狼牙山五壮士}",0.013,1,7.429
"{假如没有尘埃,七律.长征} => {新型玻璃}",0.013,0.667,4.727
"{七律.长征,新型玻璃} => {假如没有尘埃}",0.013,1,6.783
"{假如没有尘埃,七律.长征} => {圆明园的毁灭}",0.013,0.667,4.333
"{假如没有尘埃,圆明园的毁灭} => {七律.长征}",0.013,1,6.5
"{七律.长征,圆明园的毁灭} => {假如没有尘埃}",0.013,0.667,4.522
"{慈母情深,小苗与大树的对话,最后一分钟} => {圆明园的毁灭}",0.013,1,6.5
"{半截蜡烛,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,晏子使楚} => {草原}",0.019,1,12
"{半截蜡烛,草原,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {晏子使楚}",0.019,1,13
"{草原,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,晏子使楚} => {半截蜡烛}",0.019,1,14.182
"{半截蜡烛,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,晏子使楚} => {白杨}",0.019,1,12
"{白杨,半截蜡烛,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {晏子使楚}",0.019,1,13
"{白杨,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,晏子使楚} => {半截蜡烛}",0.019,1,14.182
"{半截蜡烛,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,晏子使楚} => {古诗三首}",0.019,1,12
"{半截蜡烛,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,古诗三首} => {晏子使楚}",0.019,1,13
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,古诗三首,晏子使楚} => {半截蜡烛}",0.019,1,14.182
"{半截蜡烛,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,晏子使楚} => {把铁路修到拉萨去}",0.019,1,12
"{把铁路修到拉萨去,半截蜡烛,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {晏子使楚}",0.019,1,13
"{把铁路修到拉萨去,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,晏子使楚} => {半截蜡烛}",0.019,1,14.182
